,Decision Tree,Naive Bayes,SVM
Fold 1,0.8785249457700651,0.8221258134490239,0.9197396963123644
Fold 2,0.9065217391304348,0.8195652173913044,0.9304347826086956
Fold 3,0.9217391304347826,0.7956521739130434,0.9391304347826087
Fold 4,0.9456521739130435,0.8130434782608695,0.9260869565217391
Fold 5,0.9043478260869565,0.8152173913043478,0.9369565217391305
Fold 6,0.9043478260869565,0.7891304347826087,0.9478260869565217
Fold 7,0.9130434782608695,0.8326086956521739,0.9260869565217391
Fold 8,0.9195652173913044,0.8239130434782609,0.9369565217391305
Fold 9,0.9217391304347826,0.841304347826087,0.9456521739130435
Fold 10,0.8956521739130435,0.8130434782608695,0.9347826086956522
