,Decision Tree,Naive Bayes,SVM
Fold 1,0.8526315789473684,0.8075117370892019,0.896358543417367
Fold 2,0.8788732394366198,0.8065268065268065,0.9101123595505618
Fold 3,0.9010989010989011,0.7873303167420814,0.9222222222222223
Fold 4,0.9315068493150684,0.8018433179723502,0.9044943820224719
Fold 5,0.8829787234042553,0.8045977011494253,0.9192200557103064
Fold 6,0.8797814207650273,0.781038374717833,0.9325842696629213
Fold 7,0.8895027624309392,0.8162291169451074,0.903954802259887
Fold 8,0.8980716253443526,0.8066825775656324,0.9183098591549296
Fold 9,0.9016393442622951,0.8274231678486997,0.9283667621776505
Fold 10,0.8681318681318682,0.8018433179723502,0.9147727272727273
