,Decision Tree,Naive Bayes,SVM
Fold 1,0.09902453422546387,0.0,0.23669075965881348
Fold 2,0.0744316577911377,0.0,0.21483159065246582
Fold 3,0.05211162567138672,0.01201486587524414,0.231978178024292
Fold 4,0.04681754112243652,0.016636133193969727,0.22337698936462402
Fold 5,0.060555219650268555,0.0,0.24161934852600098
Fold 6,0.05606842041015625,0.0,0.23428940773010254
Fold 7,0.0463716983795166,0.009641170501708984,0.2244572639465332
Fold 8,0.06921124458312988,0.01038503646850586,0.2211458683013916
Fold 9,0.06221818923950195,0.004015445709228516,0.21730685234069824
Fold 10,0.053551673889160156,0.0,0.24621272087097168
